id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
63398958.0,2015.0,01/11/2015,1122015.0,8.0,,1.0,Low,78000.0,1.0,, 36 months,1.0,INDIVIDUAL,1.0,,8.0,High,2.0,Good Loan,0.0,15.61,D,4.0,25.71,8079.79,8000.0,0.0,279.72,ulster
27610673.0,2014.0,01/10/2014,1012016.0,3.0,,1.0,Low,81700.0,1.0,21000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,10.15,B,2.0,22.33,10186.5,7984.24,0.0,679.1,leinster
49925091.0,2015.0,01/05/2015,1102015.0,10.0,,3.0,Low,78000.0,1.0,19725.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,7.89,A,1.0,14.12,20360.22,19725.0,0.0,617.11,Northern-Irl
28102260.0,2014.0,01/10/2014,1012016.0,9.0,,1.0,Low,35000.0,1.0,8000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,15.61,D,4.0,32.07,4227.73,2888.78,0.0,279.72,ulster
57324697.0,,01/08/2015,1012016.0,10.0,,1.0,Low,85000.0,1.0,35000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,,D,4.0,25.19,6205.36,3868.7,0.0,1247.68,ulster
61402817.0,2015.0,01/11/2015,1012016.0,10.0,,3.0,Low,100000.0,1.0,24000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,12.29,C,3.0,6.38,866.02,554.67,0.0,800.48,leinster
38700393.0,2015.0,01/01/2015,1012016.0,2.0,MORTGAGE,3.0,Low,95000.0,1.0,28000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,,C,3.0,16.2,9211.74,5584.04,0.0,656.02,cannught
59955204.0,2015.0,01/10/2015,1012016.0,10.0,,1.0,Medium,160000.0,2.0,35000.0, 36 months,1.0,INDIVIDUAL,1.0,home_improvement,7.0,Low,1.0,Good Loan,0.0,7.89,A,1.0,6.7,3254.32,2611.72,0.0,1095.0,Northern-Irl
6156565.0,2013.0,01/07/2013,1012016.0,6.0,,1.0,Low,78000.0,1.0,35000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,24.89,,6.0,28.71,29718.33,11721.19,0.0,1025.05,Northern-Irl
27511428.0,2014.0,01/09/2014,1122015.0,3.0,,3.0,Low,100000.0,1.0,30000.0, 60 months,2.0,INDIVIDUAL,,,6.0,High,2.0,Good Loan,0.0,16.29,D,4.0,16.31,11012.7,5398.73,0.0,734.18,munster
22211257.0,2014.0,01/07/2014,1102015.0,2.0,RENT,1.0,Low,65000.0,1.0,5150.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,13.98,,3.0,15.47,5910.82,5150.0,0.0,175.97,ulster
55627640.0,2015.0,01/07/2015,1012016.0,0.5,MORTGAGE,3.0,Low,41000.0,1.0,14700.0, 60 months,2.0,INDIVIDUAL,1.0,other,4.0,High,2.0,Good Loan,0.0,18.25,,5.0,15.43,1846.64,782.07,0.0,375.29,leinster
6175460.0,2013.0,01/07/2013,1042015.0,2.0,,1.0,,60000.0,1.0,14000.0, 36 months,1.0,INDIVIDUAL,1.0,car,2.0,High,2.0,Good Loan,0.0,15.22,C,3.0,12.08,16895.241719999998,14000.0,0.0,486.83,munster
20298589.0,2014.0,01/07/2014,1012016.0,10.0,RENT,1.0,Low,52000.0,1.0,15000.0, 60 months,2.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Good Loan,0.0,16.99,,4.0,27.51,6708.78,3261.03,0.0,372.71,ulster
11764904.0,2014.0,01/02/2014,1122014.0,1.0,RENT,1.0,Medium,150000.0,2.0,10000.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,11.99,,2.0,6.51,10952.46,10000.0,0.0,332.1,ulster
36221771.0,2014.0,01/12/2014,1012016.0,6.0,,3.0,Low,39000.0,1.0,4200.0, 36 months,1.0,INDIVIDUAL,1.0,,4.0,High,2.0,Good Loan,0.0,15.59,D,4.0,23.73,1901.38,1297.4,0.0,,Northern-Irl
